,id,title,latitude,longitude,address,address2,city,state,zip,country,phone,email,url,join_online_url,facebook_url,facebook_handle,instagram_url,instagram_handle
0,696,Albuquerque Atrisco,35.084341,-35.084341,4208A Central Ave SW,,Albuquerque,NM,87105,US,505.658.8160,manager@crunchabqatrisco.com,abq-atrisco,,https://www.facebook.com/CrunchAlbuquerqueAtrisco,@CrunchAlbuquerqueAtrisco,https://www.instagram.com/CrunchABQAtrisco,@CrunchABQAtrisco
1,129,Silverdale,47.65706,-122.67832,9577 Ridgetop Blvd NW,,Silverdale,WA,98383,US,360.698.6000,info@crunchsilverdale.com,silverdale,,http://www.Facebook.com/CrunchSilverdale,CrunchSilverdale,https://www.instagram.com/crunchsilverdale/,@CrunchSilverdale
2,526,Burlington,44.44276,-73.20987,937 Shelburne Road,,South Burlington,VT,05403,US,802.735.0064,manager@crunchburlington.com,burlington,,https://www.facebook.com/crunchburlington,@CrunchBurlington,https://www.instagram.com/crunchburlington,@CrunchBurlington
3,623,Tacoma,47.25704,-122.50898,5401 6th Avenue,Suite 401,Tacoma,WA,98406,US,253.534.8196,info@crunchtacoma.com,tacoma,,https://www.facebook.com/CrunchTacoma,@CrunchTacoma,https://www.instagram.com/CrunchTacoma,@CrunchTacoma
4,178,Lakewood WA,47.16547569999999,-122.51902519999999,6111 Lakewood Towne Center Blvd SW,,Lakewood,WA,98499,US,253.240.3240,info@crunchlakewoodwa.com,lakewood-wa,,https://www.facebook.com/CrunchLakewoodWA,CrunchLakewoodWA,,
5,530,Haverhill,42.7706,-71.07507,3 Ferry St,,Haverhill,MA,01835,US,978.241.6305,manager@crunchhaverhill.com,haverhill,,https://www.facebook.com/crunchhaverhill,@CrunchHaverhill,https://www.instagram.com/crunchhaverhill,@CrunchHaverhill
6,531,Danvers,42.584759,-70.964691,301 Newbury Street,,Danvers,MA,01923,US,978.624.4910,manager@crunchdanvers.com,danvers,,https://www.facebook.com/crunchdanvers,@CrunchDanvers,https://www.instagram.com/crunchdanvers,@CrunchDanvers
7,430,Lynn,42.46207,-70.95068,43 State Street,,Lynn,MA,01910,US,781.715.0202,manager@crunchlynn.com,lynn,,https://www.facebook.com/CrunchLynn,CrunchLynn,https://www.instagram.com/CrunchLynn,CrunchLynn
8,436,Malden,42.42524,-71.042168,56 Broadway,,Malden,MA,02148,US,781.874.9904,manager@crunchmalden.com,malden,,https://www.facebook.com/CrunchMalden,CrunchMalden,https://www.instagram.com/CrunchMalden,CrunchMalden
9,621,Allston,42.34852,-71.13265,15 Gorham St,,Allston,MA,02134,US,617.731.4177,manager@crunchallston.com,allston,,https://facebook.com/crunchallston,@CrunchAllston,https://www.instagram.com/crunchallston/,@CrunchAllston
10,247,Fitchburg,42.580081,-71.793183,130 Water Street,,Fitchburg,MA,01420,US,978.345.0000,manager@crunchfitchburg.com,fitchburg,,http://www.Facebook.com/CrunchFitchburg,CrunchFitchburg,https://www.instagram.com/crunchfitchburg/,CrunchFitchburg
11,622,Dorchester,42.28304,-71.05504,540 Gallivan Blvd,,Boston,MA,02124,US,617.265.1733,manager@crunchdorchester.com,dorchester,,https://facebook.com/crunchdorchester,@CrunchDorchester,https://www.instagram.com/crunchdorchester/,@CrunchDorchester
12,116,Roslindale,42.2757,-71.11441,950 American Legion Hwy,,Roslindale,MA,02131,US,617.327.1212,manager@crunchroslindale.com,roslindale,,http://www.Facebook.com/CrunchRoslindale,CrunchRoslindale,https://www.instagram.com/crunchroslindale/?hl=en,@CrunchRoslindale
